"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"35","szczecin","57,3",2,NA,2002,"7,43","0,188","2,046","0,474","0,246","no","yes","no","no",2200,"506"
"36","szczecin","26",1,4,1930,"1,46","0,393","0,498","0,373","0,093","yes","no","no","no",1800,"414"
"37","szczecin","60",3,NA,2023,"5,29","0,539","0,774","0,842","0,169","no","yes","yes","no",5000,"1150"
"38","szczecin","54",2,3,1950,"2,92","0,201","0,41","0,485","0,183","no","no","no","yes",2350,"540,5"
"39","szczecin","47,5",2,2,1960,"1,02","0,453","0,166","0,308","0,27","yes","yes","no","yes",2300,"529"
"40","szczecin","49,5",2,3,1950,"1,13","0,282","0,37","0,211","0,142","no","no","no","yes",2500,"575"
"41","szczecin","81,04",4,NA,1940,"4,09","0,509","1,039","0,676","0,668","no","yes","no","yes",3000,"690"
"42","szczecin","50",2,2,2009,"6,55","0,329","2,355","0,823","0,119","no","yes","no","no",2500,"575"
"43","szczecin","32",1,1,NA,"0,59","0,305","0,285","0,128","0,093","no","no","no","no",2150,"494,5"
"44","szczecin","51,65",2,3,NA,"3,55","0,59","0,994","0,954","0,499","no","no","no","no",2200,"506"
"45","szczecin","80",3,2,1920,"1,55","0,378","0,471","0,319","0,186","yes","no","no","no",3000,"690"
"46","szczecin","44",2,2,2023,"5,13","1,394","2,511","1,771","0,605","no","yes","yes","no",3500,"805"
"47","szczecin","32,42",1,11,2017,"2,65","0,194","0,362","0,129","0,32","yes","no","yes","no",2000,"460"
"48","szczecin","54",3,2,1937,"2,27","0,33","0,609","0,395","0,265","no","yes","no","yes",3000,"690"
"49","szczecin","31",2,4,2017,"2,01","0,114","0,179","0,205","0,331","no","no","no","no",2099,"482,77"
"50","szczecin","58",2,6,2022,"5,48","1,373","2,317","1,594","0,999","no","yes","no","no",4500,"1035"
"51","szczecin","31",1,4,2018,"0,7","0,321","0,242","0,173","0,062","no","no","yes","no",2300,"529"
"52","szczecin","43,24",2,3,NA,"4,32","1,083","1,672","0,921","0,538","no","yes","yes","no",2300,"529"
"53","szczecin","52",2,2,NA,"4,57","0,604","1,054","0,313","0,76","no","yes","no","no",2600,"598"
"54","szczecin","48",2,13,NA,"1,59","0,194","0,237","0,165","0,231","yes","no","no","no",4200,"966"
"55","szczecin","57,35",2,5,2008,"1,51","0,261","0,582","0,166","0,075","yes","yes","yes","no",2300,"529"
"56","szczecin","74",3,2,2010,"1,04","0,173","0,332","0,261","0,121","yes","yes","yes","no",3000,"690"
"57","szczecin","33,14",2,4,1940,"2,02","0,186","0,4","0,423","0,282","yes","no","no","no",1890,"434,7"
"58","szczecin","30",2,2,2010,"8,33","1,184","1,363","0,142","0,389","yes","yes","no","no",1700,"391"
"59","szczecin","38",2,3,2023,"4,65","0,411","0,921","0,107","0,55","yes","yes","yes","no",2400,"552"
"60","szczecin","34,8",2,4,2019,"2,53","0,112","0,518","0,162","0,201","yes","yes","yes","no",2200,"506"
"61","szczecin","60",3,NA,2023,"5,3","0,55","0,784","0,851","0,173","yes","no","yes","no",5000,"1150"
"62","szczecin","38",2,NA,1970,"1,59","0,194","0,237","0,165","0,231","yes","no","yes","yes",1800,"414"
"63","szczecin","32",1,3,1995,"5,17","0,526","0,657","0,682","0,077","no","yes","no","yes",1750,"402,5"
"64","szczecin","64",2,4,2017,"0,9","0,252","0,297","0,149","0,137","no","no","yes","no",3000,"690"
"65","szczecin","26,28",1,1,1980,"2,29","0,4","0,566","0,241","0,735","yes","no","no","no",1500,"345"
"66","szczecin","68",3,NA,NA,"2,73","0,195","0,183","0,248","0,316","no","no","no","no",2700,"621"
"67","szczecin","54",2,NA,NA,"0,79","0,288","0,285","0,245","0,085","no","yes","no","no",3000,"690"
"68","szczecin","57,2",3,1,1970,"3,09","0,126","0,415","0,155","0,105","yes","yes","yes","yes",2500,"575"
"69","szczecin","64,5",3,3,2023,"5,3","0,55","0,784","0,851","0,173","yes","yes","yes","no",4500,"1035"
"70","szczecin","55",2,3,NA,"0,79","0,288","0,285","0,245","0,085","no","no","no","yes",2500,"575"
"71","szczecin","38,28",2,5,2023,"1,53","0,335","1,165","0,565","0,302","yes","yes","yes","no",2700,"621"
"72","szczecin","49,32",3,6,2023,"1,53","0,335","1,165","0,565","0,302","yes","yes","yes","no",3500,"805"
"73","szczecin","43",2,3,2023,"1,5","0,32","1,099","0,512","0,253","yes","yes","yes","no",2500,"575"
"74","szczecin","96,06",4,3,2009,"4,87","0,159","1,342","0,082","0,366","no","yes","no","no",4000,"920"
"75","szczecin","44,07",2,2,2024,"4,61","0,319","0,95","0,548","0,265","yes","no","yes","no",2450,"563,5"
"76","szczecin","31,5",2,NA,2022,"5,86","0,888","2,189","0,494","0,662","no","no","yes","no",2400,"552"
"77","szczecin","36,49",2,2,2022,"1,92","0,433","0,409","0,307","0,594","yes","yes","yes","no",2700,"621"
"78","szczecin","27",1,NA,1938,"1,98","0,21","0,429","0,697","0,048","no","no","no","no",1400,"322"
"79","szczecin","84",3,3,1930,"1,45","0,376","0,546","0,324","0,106","yes","no","no","no",3300,"759"
"80","szczecin","50",2,1,1933,"3,66","0,614","0,535","0,356","0,284","no","yes","no","no",2300,"529"
"81","szczecin","47,5",2,10,2015,"3,1","0,189","1,363","0,226","0,244","no","no","yes","no",3350,"770,5"
"82","szczecin","44",2,1,2007,"4,86","0,209","1,371","0,072","0,366","no","yes","yes","yes",2100,"483"
"83","szczecin","68,5",3,6,1970,"3,63","0,561","0,376","0,254","0,317","no","no","yes","no",3200,"736"
"84","szczecin","38",2,2,1950,"4,67","0,294","0,514","0,46","0,392","no","no","no","no",1800,"414"
