"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"58","szczecin",46.9,2,2,2024,4.74,0.506,1.016,0.031,0.512,"yes","yes","yes","no",2600,598
"59","szczecin",37.91,2,3,2011,1.98,0.158,0.554,0.379,0.184,"yes","yes","yes","no",2400,552
"60","szczecin",73.73,3,1,1937,2.02,0.186,0.4,0.423,0.282,"no","yes","no","yes",2900,667
"61","szczecin",38,2,3,1966,3.29,0.256,0.45,0.363,0.316,"no","no","no","no",2500,575
"62","szczecin",48.8,2,4,1995,5.06,0.53,0.58,0.574,0.203,"yes","yes","no","no",2100,483
"63","szczecin",80,3,2,2000,0.12,0.146,0.679,0.11,0.414,"no","yes","no","no",3950,908.5
"64","szczecin",25.2,1,4,1930,1.77,0.108,0.279,0.172,0.312,"no","no","no","no",1400,322
"65","szczecin",75,4,11,1988,0.79,0.288,0.285,0.245,0.085,"no","no","yes","yes",2800,644
"66","szczecin",59.2,3,3,1979,3.3,0.323,0.417,0.239,0.087,"no","yes","no","no",2500,575
"67","szczecin",79,3,1,1997,4.58,0.591,1.082,0.33,0.787,"no","no","no","no",3000,690
"68","szczecin",34.74,2,3,2019,2.53,0.112,0.518,0.162,0.201,"yes","yes","yes","no",2100,483
"69","szczecin",36.7,2,2,1970,2.47,0.092,0.792,0.183,0.251,"no","no","no","no",2300,529
"70","szczecin",25,1,1,1960,1.52,0.338,0.428,0.343,0.164,"no","no","yes","no",1900,437
"71","szczecin",43,2,5,1964,1.45,0.173,0.317,0.276,0.111,"no","yes","no","no",1900,437
"72","szczecin",50.5,2,1,2022,5.29,1.303,1.238,0.716,0.436,"yes","yes","yes","no",2550,586.5
"73","szczecin",48.6,2,1,1990,3.53,0.109,1.004,0.178,0.141,"yes","yes","no","no",2300,529
"74","szczecin",37.17,2,1,2021,1.51,0.277,0.586,0.213,0.048,"no","no","yes","no",2600,598
"75","szczecin",54,2,3,1950,2.92,0.201,0.41,0.485,0.183,"no","no","no","yes",2300,529
"76","szczecin",115,4,5,1995,2.6,0.413,0.566,0.387,0.052,"no","no","no","yes",3950,908.5
"77","szczecin",80.96,4,4,1995,2.6,0.413,0.566,0.387,0.052,"yes","yes","no","yes",4500,1035
"78","szczecin",43,2,4,2023,0.92,0.371,0.319,0.63,0.359,"yes","yes","yes","no",2800,644
"79","szczecin",39,2,2,2023,0.92,0.371,0.319,0.63,0.359,"yes","yes","yes","no",2800,644
"80","szczecin",34.09,1,2,1930,4.67,0.294,0.514,0.46,0.392,"no","no","no","no",1600,368
"81","szczecin",73,3,1,1930,1.04,0.173,0.332,0.261,0.121,"no","no","no","no",2500,575
"82","szczecin",41,2,4,1966,0.31,0.067,0.722,0.107,0.33,"no","yes","no","yes",2500,575
